WDS,AName,Name,RA,DEC,date,TMP,PA,paerr,Sep,seperr,Dmag,QFLAG,TMP3
01559+0151, STF 186         ,HIP 8998    ,  28.9747,   1.8505, 2019.6190 , I  2,     74.4,   0.2,   0.6533,   0.2,     0.6,  ,      0.1    0.006 Jte2018 
01559-2150, DON 27          ,HIP 9006    ,  28.9864, -21.8254, 2019.6134 , I  2,    325.2,   0.1,   0.1162,   0.1,     1.6, q,                           
01592+0330, LDS3331 AB      ,HIP 9275    ,  29.8016,   3.5193, 2019.5399 , I  1,     53.4,   0.2,   4.2372,   0.2,     0.4, ast,                           
01592+0330, LDS3331 AB      ,HIP 9275    ,  29.8016,   3.5193, 2019.5399 , I  1,     53.4,   0.2,   4.2358,   0.2,     0.4, ast,                           
02016-1610, ELP 3           , T257482141  ,  30.3984, -16.1668, 2019.5371 , I  2,    298.9,   0.2,   0.4347,   0.2,     2.3,  ,                           
02022-2402, HDS 272 ABa    ,HIP 9497    ,  30.5469, -24.0399, 2019.5397 , I  3,    314.7,   1.0,   0.4396,   1.0,     3.6,  ,     -2.6   -0.219 Hrt2011d
02022-2402, HDS 272 ABa    ,HIP 9497    ,  30.5469, -24.0399, 2019.5398 , y  2,    314.9,   0.5,   0.4401,   0.5,     4.4,  ,     -2.3   -0.219 Hrt2011d
02022-2402, TOK 41 BaBb    ,HIP 9497    ,  30.5469, -24.0399, 2019.5397 , I  3,    292.7,   0.3,   0.0937,   0.3,     0.1,  ,      2.9   -0.003 Tok2018j
02022-2402, TOK 41 BaBb    ,HIP 9497    ,  30.5469, -24.0399, 2019.5398 , y  2,    292.7,   1.2,   0.0951,   1.2,     0.7,  ,      2.8   -0.002 Tok2018j
02032-4053, RST1230         , CD-41 572   ,  30.7916, -40.8836, 2019.8593 , I  2,      2.4,   0.2,   0.7725,   0.2,     0.4, ast,                           
02038-0020, TOK 38 AaAb    ,HIP 9631    ,  30.9505,  -0.3401, 2019.5399 , y  2,    101.5,   0.9,   0.0474,   0.9,     1.4,  ,     -0.4    0.002 SOAR2019
02038-0020, TOK 38 AaAb    ,HIP 9631    ,  30.9511,  -0.3405, 2019.7913 , y  2,    103.1,   0.5,   0.0431,   0.5,     1.4,  ,     -2.3    0.001 SOAR2019
02038-0020, TOK 38 AaAb    ,HIP 9631    ,  30.9510,  -0.3401, 2019.8568 , y  2,    105.7,   0.5,   0.0443,   0.5,     1.4,  ,     -0.7    0.003 SOAR2019
02039-4525, RST2272         ,HIP 9642    ,  30.9802, -45.4129, 2019.5370 , I  2,    243.2,   0.2,   1.5261,   0.2,     3.7, ast,     -0.1    0.003 Tok2016b
02039-4525, RST2272         ,HIP 9642    ,  30.9802, -45.4129, 2019.6133 , I  2,    243.4,   0.2,   1.5301,   0.2,     3.7, ast,      0.0    0.006 Tok2016b
02039-4525, RST2272         ,HIP 9642    ,  30.9817, -45.4128, 2019.7911 , I  2,    243.4,   0.3,   1.5340,   0.3,     3.5, ast,     -0.2    0.008 Tok2016b
02039-4525, RST2272         ,HIP 9642    ,  30.9819, -45.4119, 2019.8594 , I  2,    243.4,   0.2,   1.5346,   0.2,     3.6, ast,     -0.3    0.008 Tok2016b
02039-4525, RST2272         ,HIP 9642    ,  30.9817, -45.4128, 2019.9498 , I  2,    243.4,   0.2,   1.5375,   0.2,     3.7, ast,     -0.3    0.010 Tok2016b
02050-3748,HIP 9713        ,HIP 9713    ,  31.2418, -37.7988, 2019.9498 , I  2,    243.7,   0.5,   0.3409,   0.5,     3.1, q,                           
02051-1737, BEU 3           ,HIP 9724    ,  31.2702, -17.6146, 2019.6134 , I  2,    101.0,   2.3,   0.4071,   2.3,     4.5,  ,                           
02057-2423, I 454 AB        ,HIP 9774    ,  31.4230, -24.3761, 2019.6134 , y  2,    163.7,   0.2,   0.5688,   0.2,     2.2,  ,      1.7    0.004 Tok2014b
02057-2423, WSI 71 AaAb    ,HIP 9774    ,  31.4230, -24.3761, 2019.6134 , y  2,    248.3,   0.1,   0.0344,   0.1,     0.4,  ,      1.5    0.012 Tok2014b
02060-2209, SEE 16          ,HIP 9798    ,  31.4973, -22.1508, 2019.5398 , I  2,    115.8,   0.1,   0.0974,   0.1,     0.6, q,      0.1    0.000 Tok2019h
02065+0002,HIP 9827        ,HIP 9827    ,  31.6220,   0.0354, 2019.5399 , y  2,    201.9,   0.2,   0.0544,   0.2,     2.3,  ,                           
02085-0641, HDS 285         ,HIP 9981    ,  32.1321,  -6.6781, 2019.9496 , I  2,    114.5,   0.6,   0.1919,   0.6,     3.1, q,                           
02094-2231, HDS 288         ,HIP 10057   ,  32.3591, -22.5112, 2019.5398 , I  2,     97.4,   0.5,   0.1988,   0.5,     1.4, q,                           
02128-0224, TOK 39 AaAb    ,HIP 10305   ,  33.1981,  -2.3936, 2019.5399 , y  2,    136.1,   0.1,   0.0218,   0.1,     0.0,  ,    -26.3    0.004 SOAR2019
02128-0224, TOK 39 AaAb    ,HIP 10305   ,  33.1997,  -2.3942, 2019.6190 , y  2,    171.8,   2.0,   0.0150,   2.0,     0.0, :,      9.4   -0.002 SOAR2019
02128-0224, TOK 39 AaAb    ,HIP 10305   ,  33.1994,  -2.3937, 2019.7913 , y  2,    130.1,   0.2,   0.0201,   0.2,     0.0,  ,    -32.6    0.003 SOAR2019
02143-4952,HIP 10421       ,HIP 10421   ,  33.5763, -49.8622, 2019.9498 , I  2,    114.5,   0.0,   0.0827,   0.0,     0.1,  ,                           
02151-3948, RST2276         ,HIP 10477   ,  33.7769, -39.7914, 2019.8593 , I  2,    145.8,   0.0,   0.3863,   0.0,     0.2,  ,                           
02159+0638, A 2013          ,HIP 10552   ,  33.9716,   6.6260, 2019.6190 , I  2,    121.4,   0.3,   0.3572,   0.3,     0.4,  ,      2.2    0.001 Doc2006i
02160-0929, BRG 10 AB       , RBS 297     ,  33.9955,  -9.4867, 2019.5399 , I  2,    281.7,   0.3,   0.4698,   0.3,     1.3, q,                           
02166-5026, TOK 185         ,HIP 10611   ,  34.1503, -50.4286, 2019.5370 , I  2,    114.4,   1.0,   0.0865,   1.0,     1.5,  ,      6.6   -0.006 Tok2019c
02166-5026, TOK 185         ,HIP 10611   ,  34.1500, -50.4290, 2019.9470 , I  2,    126.6,   0.6,   0.0767,   0.6,     1.6, q,      9.5   -0.011 Tok2019c
02169-2322, BRG 11 AB       , RBS 301     ,  34.2287, -23.3704, 2019.5398 , I  1,    313.4,   0.0,   4.4304,   0.0,    -1.3, :,                           
02169-2322, BRG 11 BC       , RBS 301     ,  34.2277, -23.3695, 2019.5398 , I  2,    106.0,   2.4,   0.0786,   2.4,     0.5, :,                           
02169-2322, BRG 11 BC       , RBS 301     ,  34.2277, -23.3695, 2019.5398 , I  1,    108.6,   0.0,   0.0847,   0.0,     0.4, :,                           
02198+0640, VOU 40          , HD 14416    ,  34.9536,   6.6717, 2019.6190 , I  2,    144.8,   1.5,   0.1100,   1.5,     1.2, :,                           
02201-0332, HDS 305 AaAb   ,HIP 10885   ,  35.0206,  -3.5348, 2019.5399 , I  4,     26.7,   0.5,   0.0874,   0.5,     0.1,  ,     -0.0   -0.002 Tok2018i
02201-0332, HDS 305 AaAb   ,HIP 10885   ,  35.0197,  -3.5353, 2019.9496 , I  2,     36.0,   0.3,   0.0786,   0.3,     0.1,  ,      0.4   -0.003 Tok2018i
02216-1546, HDS 307         ,HIP 10990   ,  35.4109, -15.7682, 2019.9498 , I  2,    256.8,   0.2,   0.5061,   0.2,     2.6, q,                           
02221-4709, HDS 308         ,HIP 11036   ,  35.5276, -47.1488, 2019.7911 , I  2,    105.5,   0.2,   0.2725,   0.2,     1.2, q,                           
02225-2349, LAF 27          ,HIP 11072   ,  35.6356, -23.8163, 2019.5398 , I  2,    144.4,   3.2,   0.5225,   3.2,     3.9, q,     -0.1    0.004 Fek2018 
02290-1959, RST2280 AaAb   ,HIP 11565   ,  37.2570, -19.9792, 2019.5398 , I  2,    218.9,   1.2,   0.2420,   1.2,     2.4, q,      0.2   -0.000 SOAR2019
02297-0216, BU 519          ,HIP 11606   ,  37.4288,  -2.2671, 2019.5399 , I  2,    101.1,   0.2,   0.2177,   0.2,     1.2, q,                           
02305-4342, ELP 1 AaAb     , CD-44 753   ,  37.6350, -43.7065, 2019.5370 , I  2,    120.0,   0.1,   0.1246,   0.1,     0.9, q,     -0.6   -0.001 SOAR2019
02305-4342, ELP 1 AaAb     , CD-44 753   ,  37.6355, -43.7067, 2019.9498 , I  2,    111.8,   0.1,   0.1249,   0.1,     0.7, q,     -0.3    0.001 SOAR2019
02317+0244, A 2333          , HD 15719    ,  37.9274,   2.7393, 2019.6190 , I  2,    217.5,   0.3,   0.3295,   0.3,     0.2,  ,                           
02321-1515, TOK 382 AaAb   ,HIP 11783   ,  38.0218, -15.2446, 2019.5398 , I  2,    201.3,   0.4,   0.4843,   0.4,     3.8, q,                           
02327+0344, A 2334          ,HIP 11828   ,  38.1632,   3.7385, 2019.9496 , I  2,     11.3,   0.1,   0.1497,   0.1,     0.3,  ,                           
02332-5156, HDS 333         ,HIP 11877   ,  38.3058, -51.9387, 2019.5344 , y  2,    256.7,   0.9,   0.5119,   0.9,     2.3, q,     -0.1    0.007 Tok2018b
02332-5156, HDS 333         ,HIP 11877   ,  38.3058, -51.9387, 2019.6135 , I  2,    257.0,   0.1,   0.5101,   0.1,     1.2, ast,      0.1    0.007 Tok2018b
02332-5156, HDS 333         ,HIP 11877   ,  38.3053, -51.9376, 2019.7911 , I  2,    257.1,   0.2,   0.5069,   0.2,     1.7, q,     -0.2    0.008 Tok2018b
02332-5156, HDS 333         ,HIP 11877   ,  38.3055, -51.9377, 2019.9470 , I  2,    257.4,   0.1,   0.5033,   0.1,     1.7, q,     -0.2    0.009 Tok2018b
02336-3910, B 674           , HD 16056    ,  38.3948, -39.1747, 2019.5370 , I  2,    299.7,   0.3,   0.0915,   0.3,     0.6, q,     -1.0    0.001 Tok2019c
02340-1257, HDS 335         ,HIP 11931   ,  38.4937, -12.9512, 2019.9498 , I  2,    171.8,   0.3,   0.1830,   0.3,     1.7, q,                           
02361-3727, B 676           , HD 16318    ,  39.0272, -37.4521, 2019.5370 , I  2,    173.9,   0.2,   0.0641,   0.2,     0.2,  ,                           
02366+1227, MCA 7           ,HIP 12153   ,  39.1594,  12.4465, 2019.6193 , y  2,    329.1,   0.5,   0.0695,   0.5,     0.0, :,     -0.2   -0.008 Doc2016d
02366+1227, MCA 7           ,HIP 12153   ,  39.1589,  12.4474, 2019.8569 , y  2,    320.3,   0.1,   0.0746,   0.1,     0.2,  ,     -0.5   -0.003 Doc2016d
02366-1439, HDS 339         ,HIP 12146   ,  39.1410, -14.6569, 2019.9498 , I  2,     45.5,   0.6,   0.8320,   0.6,     3.1, ast,                           
02371-0600, HDS 340         ,HIP 12195   ,  39.2670,  -6.0029, 2019.9498 , I  2,    172.4,   0.1,   0.2730,   0.1,     0.2,  ,                           
02374-5233, TOK 186 AaAb   ,HIP 12225   ,  39.3511, -52.5431, 2019.5344 , y  2,     33.9,   0.2,   0.0676,   0.2,     1.2, q,      6.4    0.004 Tok2017c
02374-5233, TOK 186 AaAb   ,HIP 12225   ,  39.3523, -52.5433, 2019.9498 , y  2,    338.7,   0.1,   0.0350,   0.1,     1.0,  ,     13.3   -0.002 Tok2017c
02383-4110, HDS 344         ,HIP 12290   ,  39.5828, -41.1614, 2019.9498 , I  2,    298.3,   0.0,   0.1829,   0.0,     0.2,  ,                           
02390-5811, HDS 345         ,HIP 12351   ,  39.7550, -58.1872, 2019.1335 , I  2,    304.2,   0.1,   0.2247,   0.1,     0.4, q,     -0.5   -0.001 Tok2017c
02390-5811, HDS 345         ,HIP 12351   ,  39.7550, -58.1872, 2019.5344 , I  2,    291.3,   0.0,   0.2126,   0.0,     0.4, q,     -0.7   -0.000 Tok2017c
02390-5811, HDS 345         ,HIP 12351   ,  39.7548, -58.1871, 2019.7911 , I  2,    282.0,   0.1,   0.1966,   0.1,     0.4, q,     -0.5   -0.000 Tok2017c
02396-1152, FIN 312         ,HIP 12390   ,  39.8910, -11.8721, 2019.5398 , y  2,      7.8,   0.1,   0.1036,   0.1,     0.9, q,     -1.3   -0.001 Doc2013d
02396-1152, FIN 312         ,HIP 12390   ,  39.8915, -11.8729, 2019.9498 , y  2,     68.1,   0.1,   0.0878,   0.1,     0.8, q,      0.0   -0.003 Doc2013d
02399+0009, A 1928          ,HIP 12421   ,  39.9657,   0.1456, 2019.6190 , I  2,    243.6,   0.2,   0.2081,   0.2,     1.2, q,     -0.0    0.011 Doc2009g
02405-2408, SEE 19          ,HIP 12466   ,  40.1312, -24.1354, 2019.5398 , y  2,     94.0,   0.6,   0.0728,   0.6,     0.5,  ,      3.3    0.000 Tok2015c
02415-1506, HDS 351         ,HIP 12554   ,  40.3755, -15.1005, 2019.5398 , y  2,    205.6,   0.1,   0.0845,   0.1,     0.7, q,                           
02415-7128, B 1923          ,HIP 12548   ,  40.3650, -71.4628, 2019.7911 , I  2,    246.5,   0.2,   0.3122,   0.2,     1.0, q,      0.9    0.007 Tok2019h
02418-4536, HDS 353         ,HIP 12583   ,  40.4491, -45.6028, 2019.5370 , I  2,    353.0,   1.5,   0.1779,   1.5,     2.6, q,                           
02418-5300, TOK 690 AaAb   , CD-53 544   ,  40.4451, -52.9979, 2019.5344 , I  2,     78.2,   3.8,   0.0328,   3.8,     0.0, :,                           
02418-5300, TOK 690 AaAb   , CD-53 544   ,  40.4460, -52.9981, 2019.7911 , I  3,     84.7,   0.3,   0.0393,   0.3,     0.0,  ,                           
02418-5300, TOK 690 AaAb   , CD-53 544   ,  40.4462, -52.9980, 2019.8567 , I  2,     85.0,   0.9,   0.0409,   0.9,     0.0,  ,                           
02426-7947, TOK 362         ,HIP 12654   ,  40.6500, -79.7838, 2019.9469 , I  4,    115.4,   0.3,   0.7072,   0.3,     1.8, ast,                           
02434-3756, TOK 187         ,HIP 12716   ,  40.8565, -37.9285, 2019.1334 , I  2,    214.2,   0.7,   0.2439,   0.7,     3.4, q,      1.9   -0.002 Tok2018e
02434-3756, TOK 187         ,HIP 12716   ,  40.8565, -37.9285, 2019.5370 , I  2,    210.7,   0.8,   0.2709,   0.8,     3.3, q,      1.7   -0.000 Tok2018e
02442-2530, FIN 379 AaAb   ,HIP 12780   ,  41.0605, -25.4955, 2019.5398 , y  2,    203.1,   0.2,   0.1418,   0.2,     0.4,  ,      0.1    0.002 Tok2016b
02442-2530, FIN 379 AaAb   ,HIP 12780   ,  41.0613, -25.4949, 2019.8593 , I  2,    209.0,   0.1,   0.1332,   0.1,     0.5, q,     -0.0    0.002 Tok2016b
02442-5234,HIP 12775       ,HIP 12775   ,  41.0441, -52.5706, 2019.5344 , I  1,    129.9,   0.9,   1.3311,   0.9,     4.4, ast,                           
02442-5234,HIP 12775       ,HIP 12775   ,  41.0441, -52.5706, 2019.9470 , y  1,    129.9,   1.5,   1.3361,   1.5,     5.5, ast,                           
02449+1007, TOK 1 AaAb     ,HIP 12828   ,  41.2365,  10.1141, 2019.6190 , y  2,    245.8,   1.2,   0.1109,   1.2,     3.8,  ,                           
02449+1007, TOK 1 AaAb     ,HIP 12828   ,  41.2365,  10.1141, 2019.6190 , I  2,    239.6,   1.8,   0.0942,   1.8,     3.2, :,                           
02449+1007, TOK 1 AaAb     ,HIP 12828   ,  41.2366,  10.1139, 2019.8569 , y  2,    237.8,   2.7,   0.1473,   2.7,     4.9,  ,                           
02449+1007, TOK 1 AaAb     ,HIP 12828   ,  41.2365,  10.1140, 2019.9496 , y  2,    236.6,   0.3,   0.1542,   0.3,     4.1,  ,                           
02452-4344, BRG 15 AaAb    , NLTT 8912   ,  41.3096, -43.7362, 2019.5370 , I  2,     72.6,   0.2,   0.3352,   0.2,     0.6, q,                           
02460-0457, BU 83 AaAb     ,HIP 12912   ,  41.4985,  -4.9564, 2019.5399 , I  2,     86.6,   3.0,   0.1842,   3.0,     4.1, :,                           
02460-0457, BU 83 AaB      ,HIP 12912   ,  41.4985,  -4.9564, 2019.5399 , I  2,     11.0,   0.8,   0.9985,   0.8,     2.0,  ,      1.6   -0.034 Hrt2011d
02466-3232,HIP 12954       ,HIP 12954   ,  41.6428, -32.5346, 2019.9498 , I  2,     81.9,   0.7,   1.3347,   0.7,     3.8, ast,                           
02490-1029, BRG 16 AB       ,             ,  42.2595, -10.4894, 2019.5399 , I  2,    214.7,   0.4,   0.5459,   0.4,     1.1,  ,                           
02490-1029, BRG 16 BC       ,             ,  42.2595, -10.4894, 2019.5399 , I  2,    251.8,   0.7,   0.2166,   0.7,     0.4,  ,                           
02517-5234, HU 1562         ,HIP 13341   ,  42.9280, -52.5595, 2019.5344 , I  2,      0.9,   2.0,   0.0300,   2.0,     0.7, :,     -2.8    0.001 SOAR2019
02539-4436, I 1480          ,HIP 13498   ,  43.4631, -44.6057, 2019.6135 , I  2,    114.8,   0.1,   0.4223,   0.1,     1.4, q,      0.0   -0.000 Tok2016c
02544-2007, HDS 371         ,HIP 13542   ,  43.6014, -20.1171, 2019.5398 , I  2,      1.5,   0.2,   0.1313,   0.2,     2.0, q,      1.2   -0.002 Tok2018i
02550-1402, HDS 372 AaAb   ,HIP 13578   ,  43.7253, -14.0250, 2019.9498 , I  2,    150.4,   0.2,   0.2773,   0.2,     3.0, q,                           
02554-2513, HDS 375         ,HIP 13610   ,  43.8478, -25.2251, 2019.9498 , I  2,     34.5,   0.1,   0.4585,   0.1,     0.1,  ,                           
02562+0031, RST4753         ,HIP 13680   ,  44.0572,   0.5227, 2019.6190 , I  2,     70.2,   0.5,   0.1425,   0.5,     1.1,  ,                           
02572-2458, BEU 4 CaCb     ,HIP 13769   ,  44.3050, -24.9751, 2019.5398 , y  2,    246.0,   0.1,   0.0698,   0.1,     0.6, q,      0.3    0.004 Tok2015c
02572-2458, BEU 4 CaCb     ,HIP 13772   ,  44.3113, -24.9696, 2019.8593 , y  3,    210.1,   0.1,   0.0928,   0.1,     0.7,  ,      0.1    0.001 Tok2015c
02572-2458, BU 741 AB       ,HIP 13772   ,  44.3112, -24.9694, 2019.5398 , y  2,    356.1,   0.1,   0.3459,   0.1,     0.3,  ,      0.1    0.002 Tok2019h
02572-2458, BU 741 AB       ,HIP 13772   ,  44.3114, -24.9695, 2019.8593 , y  2,    357.6,   0.0,   0.3172,   0.0,     0.2,  ,      0.1    0.001 Tok2019h
02595-6415,HIP 13935       ,HIP 13935   ,  44.8849, -64.2430, 2019.9470 , I  2,    243.0,   2.3,   0.5133,   2.3,     4.6, q,                           
03014+0615, HDS 385         ,HIP 14075   ,  45.3446,   6.2489, 2019.9496 , I  2,    167.0,   0.0,   0.1643,   0.0,     0.2,  ,      0.4    0.001 Tok2019c
03019-1633, RST2292 BC      ,HIP 14101   ,  45.4600, -16.5938, 2019.9498 , I  2,    317.3,   0.3,   1.0773,   0.3,     0.8, ast,                           
03030-0205, STF 341 BaBb   ,HIP 14194   ,  45.7572,  -2.0865, 2019.6136 , I  2,     63.3,   0.2,   0.0496,   0.2,     0.0,  ,                           
03030-0205, STF 341 BaBb   ,HIP 14194   ,  45.7572,  -2.0865, 2019.7913 , I  2,     52.5,   0.2,   0.0498,   0.2,     0.0,  ,                           
03046-5119, TOK 428 BaBb   ,HIP 14313   ,  46.1541, -51.3185, 2019.1335 , I  2,    113.1,   0.2,   0.1792,   0.2,     0.4, q,                           
03048-7324, B 2080          , CD-73 132   ,  46.1962, -73.3966, 2019.1334 , I  2,    291.6,   0.5,   0.8326,   0.5,     1.5, ast,                           
03053-4059, HDS 391         ,HIP 14361   ,  46.3260, -40.9842, 2019.6135 , I  2,     23.7,   0.4,   0.0577,   0.4,     1.5,  ,      2.0   -0.004 Tok2017c
03076-0358, HDS 396         ,HIP 14524   ,  46.8908,  -3.9714, 2019.6136 , I  2,    215.0,   0.1,   0.1518,   0.1,     0.2,  ,     -2.6   -0.017 Tok2017c
03085-0335, BU 528 AB       ,HIP 14598   ,  47.1132,  -3.5894, 2019.9498 , I  2,    334.7,   0.2,   0.1274,   0.2,     0.2, q,                           
03087-4801, HDS 399         ,HIP 14609   ,  47.1676, -48.0164, 2019.1335 , I  2,    152.0,   0.1,   0.0602,   0.1,     1.1,  ,     -2.2    0.002 Tok2019d
03087-4801, HDS 399         ,HIP 14609   ,  47.1681, -48.0166, 2019.8594 , I  2,    167.3,   0.9,   0.0648,   0.9,     1.0, q,     -6.0    0.001 Tok2019d
03087-4801, HDS 399         ,HIP 14609   ,  47.1681, -48.0166, 2019.8594 , y  2,    167.9,   0.1,   0.0678,   0.1,     1.2, q,     -5.4    0.004 Tok2019d
03114-0043, RST4755         ,HIP 14825   ,  47.8533,  -0.7092, 2019.6136 , I  2,    174.1,   0.1,   0.2681,   0.1,     0.4, q,                           
03124-4425, JC 8 AB         ,HIP 14913   ,  48.1070, -44.4197, 2019.1989 , I  2,    137.1,   0.1,   0.3121,   0.1,     0.6, q,     -2.7   -0.021 Sod1999 
03124-4425, JC 8 AB         ,HIP 14913   ,  48.1078, -44.4198, 2019.9500 , I  2,    131.6,   0.0,   0.2641,   0.0,     0.6, q,     -3.7   -0.021 Sod1999 
03126-6522, HDS 412         ,HIP 14942   ,  48.1581, -65.3586, 2019.1335 , I  2,    166.8,   1.2,   0.0826,   1.2,     1.8, q,                           
03126-6522, HDS 412         ,HIP 14942   ,  48.1580, -65.3586, 2019.9470 , I  2,    165.0,   0.6,   0.0831,   0.6,     1.6, q,                           
03140-0834, BU 529          ,HIP 15053   ,  48.4995,  -8.5736, 2019.1334 , I  2,    220.2,   0.9,   3.2284,   0.9,     3.8, ast,                           
03149-6242, DAM1299         ,             ,  48.7150, -62.6946, 2019.9470 , I  2,    247.8,   0.2,   0.9524,   0.2,     0.4, ast,                           
03161-1921, LSC 24          ,HIP 15210   ,  49.0189, -19.3546, 2019.8593 , I  2,    337.2,   0.4,   0.0921,   0.4,     0.8, q,                           
03178-1407, HU 432          , HD 20530    ,  49.4385, -14.1131, 2019.8571 , I  2,     95.7,   0.1,   0.1940,   0.1,     0.7, q,      0.7   -0.000 SOAR2019
03186-4239, I 56            ,HIP 15407   ,  49.6616, -42.6421, 2019.1989 , I  2,    256.7,   1.0,   3.8682,   1.0,     2.2, ast,                           
03187-2931, DAW 78          , HD 20668    ,  49.6634, -29.5142, 2019.9500 , I  2,    132.0,   0.1,   0.0731,   0.1,     0.1,  ,                           
